filename,layers,seed,accuracy,patchability,sparsity,category,efficiency,connections,path,directory,score
model_cifar10_3layers_seed3_acc0.47_patch0.361_sparse0.044_BEST_ACCURACY_GLOBAL.pt,3,3,0.47,0.361,0.044,BEST_ACCURACY_GLOBAL,26.568514659488873,17690.111999999997,data/promising_models/20250707_020938/model_cifar10_3layers_seed3_acc0.47_patch0.361_sparse0.044_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.5710654312899662
model_cifar10_3layers_seed6_acc0.47_patch0.340_sparse0.046_BEST_PATCHABILITY_SPARSITY_0.046.pt,3,6,0.47,0.34,0.046,BEST_PATCHABILITY_SPARSITY_0.046,25.413361848206748,18494.208,data/promising_models/20250707_020938/model_cifar10_3layers_seed6_acc0.47_patch0.340_sparse0.046_BEST_PATCHABILITY_SPARSITY_0.046.pt,20250707_020938,0.5608052472219028
model_cifar10_3layers_seed6_acc0.47_patch0.340_sparse0.046_BEST_ACCURACY_SPARSITY_0.046.pt,3,6,0.47,0.34,0.046,BEST_ACCURACY_SPARSITY_0.046,25.413361848206748,18494.208,data/promising_models/20250707_020938/model_cifar10_3layers_seed6_acc0.47_patch0.340_sparse0.046_BEST_ACCURACY_SPARSITY_0.046.pt,20250707_020938,0.5608052472219028
model_cifar10_3layers_seed6_acc0.47_patch0.340_sparse0.046_BEST_EFFICIENCY_SPARSITY_0.046.pt,3,6,0.47,0.34,0.046,BEST_EFFICIENCY_SPARSITY_0.046,25.413361848206748,18494.208,data/promising_models/20250707_020938/model_cifar10_3layers_seed6_acc0.47_patch0.340_sparse0.046_BEST_EFFICIENCY_SPARSITY_0.046.pt,20250707_020938,0.5608052472219028
model_cifar10_3layers_seed1_acc0.47_patch0.347_sparse0.048_BEST_PATCHABILITY_SPARSITY_0.048.pt,3,1,0.47,0.347,0.048,BEST_PATCHABILITY_SPARSITY_0.048,24.35447177119813,19298.304,data/promising_models/20250707_020938/model_cifar10_3layers_seed1_acc0.47_patch0.347_sparse0.048_BEST_PATCHABILITY_SPARSITY_0.048.pt,20250707_020938,0.5596375261915895
model_cifar10_3layers_seed1_acc0.47_patch0.347_sparse0.048_BEST_EFFICIENCY_SPARSITY_0.048.pt,3,1,0.47,0.347,0.048,BEST_EFFICIENCY_SPARSITY_0.048,24.35447177119813,19298.304,data/promising_models/20250707_020938/model_cifar10_3layers_seed1_acc0.47_patch0.347_sparse0.048_BEST_EFFICIENCY_SPARSITY_0.048.pt,20250707_020938,0.5596375261915895
model_cifar10_3layers_seed1_acc0.47_patch0.347_sparse0.048_BEST_ACCURACY_SPARSITY_0.048.pt,3,1,0.47,0.347,0.048,BEST_ACCURACY_SPARSITY_0.048,24.35447177119813,19298.304,data/promising_models/20250707_020938/model_cifar10_3layers_seed1_acc0.47_patch0.347_sparse0.048_BEST_ACCURACY_SPARSITY_0.048.pt,20250707_020938,0.5596375261915895
model_cifar10_3layers_seed9_acc0.47_patch0.345_sparse0.050_BEST_ACCURACY_GLOBAL.pt,3,9,0.47,0.345,0.05,BEST_ACCURACY_GLOBAL,23.380292900350202,20102.4,data/promising_models/20250707_020152/model_cifar10_3layers_seed9_acc0.47_patch0.345_sparse0.050_BEST_ACCURACY_GLOBAL.pt,20250707_020152,0.5559146872788475
model_cifar10_3layers_seed9_acc0.47_patch0.345_sparse0.050_BEST_PATCHABILITY_SPARSITY_0.050.pt,3,9,0.47,0.345,0.05,BEST_PATCHABILITY_SPARSITY_0.050,23.380292900350202,20102.4,data/promising_models/20250707_020152/model_cifar10_3layers_seed9_acc0.47_patch0.345_sparse0.050_BEST_PATCHABILITY_SPARSITY_0.050.pt,20250707_020152,0.5559146872788475
model_cifar10_3layers_seed9_acc0.47_patch0.345_sparse0.050_BEST_EFFICIENCY_SPARSITY_0.050.pt,3,9,0.47,0.345,0.05,BEST_EFFICIENCY_SPARSITY_0.050,23.380292900350202,20102.4,data/promising_models/20250707_020152/model_cifar10_3layers_seed9_acc0.47_patch0.345_sparse0.050_BEST_EFFICIENCY_SPARSITY_0.050.pt,20250707_020152,0.5559146872788475
model_cifar10_3layers_seed9_acc0.47_patch0.345_sparse0.050_BEST_ACCURACY_SPARSITY_0.050.pt,3,9,0.47,0.345,0.05,BEST_ACCURACY_SPARSITY_0.050,23.380292900350202,20102.4,data/promising_models/20250707_020152/model_cifar10_3layers_seed9_acc0.47_patch0.345_sparse0.050_BEST_ACCURACY_SPARSITY_0.050.pt,20250707_020152,0.5559146872788475
