filename,layers,seed,accuracy,patchability,sparsity,category,efficiency,connections,path,directory,score
model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,3,6,0.4,0.589,0.01,BEST_ACCURACY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020152/model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,20250707_020152,0.8006221096674743
model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_ACCURACY_GLOBAL.pt,3,6,0.4,0.589,0.01,BEST_ACCURACY_GLOBAL,99.49060808659664,4020.48,data/promising_models/20250707_020152/model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_ACCURACY_GLOBAL.pt,20250707_020152,0.8006221096674743
model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,3,6,0.4,0.589,0.01,BEST_PATCHABILITY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020152/model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,20250707_020152,0.8006221096674743
model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,3,6,0.4,0.589,0.01,BEST_EFFICIENCY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020152/model_cifar10_3layers_seed6_acc0.40_patch0.589_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,20250707_020152,0.8006221096674743
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_ACCURACY_GLOBAL.pt,3,7,0.4,0.582,0.01,BEST_ACCURACY_GLOBAL,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_PATCHABILITY_GLOBAL.pt,3,7,0.4,0.582,0.01,BEST_PATCHABILITY_GLOBAL,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_PATCHABILITY_GLOBAL.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,3,7,0.4,0.582,0.01,BEST_ACCURACY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,3,7,0.4,0.582,0.01,BEST_EFFICIENCY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,3,7,0.4,0.582,0.01,BEST_PATCHABILITY_SPARSITY_0.010,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,3,7,0.4,0.582,0.01,BEST_EFFICIENCY_GLOBAL,99.49060808659664,4020.48,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.40_patch0.582_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,20250707_020938,0.798425456947809
model_cifar10_3layers_seed3_acc0.42_patch0.564_sparse0.012_BEST_PATCHABILITY_SPARSITY_0.012.pt,3,3,0.42,0.564,0.012,BEST_PATCHABILITY_SPARSITY_0.012,87.05428207577205,4824.576,data/promising_models/20250707_020938/model_cifar10_3layers_seed3_acc0.42_patch0.564_sparse0.012_BEST_PATCHABILITY_SPARSITY_0.012.pt,20250707_020938,0.7743160570047067
model_cifar10_3layers_seed3_acc0.42_patch0.564_sparse0.012_BEST_ACCURACY_GLOBAL.pt,3,3,0.42,0.564,0.012,BEST_ACCURACY_GLOBAL,87.05428207577205,4824.576,data/promising_models/20250707_020938/model_cifar10_3layers_seed3_acc0.42_patch0.564_sparse0.012_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.7743160570047067
model_cifar10_3layers_seed3_acc0.42_patch0.564_sparse0.012_BEST_ACCURACY_SPARSITY_0.012.pt,3,3,0.42,0.564,0.012,BEST_ACCURACY_SPARSITY_0.012,87.05428207577205,4824.576,data/promising_models/20250707_020938/model_cifar10_3layers_seed3_acc0.42_patch0.564_sparse0.012_BEST_ACCURACY_SPARSITY_0.012.pt,20250707_020938,0.7743160570047067
model_cifar10_3layers_seed3_acc0.42_patch0.564_sparse0.012_BEST_EFFICIENCY_SPARSITY_0.012.pt,3,3,0.42,0.564,0.012,BEST_EFFICIENCY_SPARSITY_0.012,87.05428207577205,4824.576,data/promising_models/20250707_020938/model_cifar10_3layers_seed3_acc0.42_patch0.564_sparse0.012_BEST_EFFICIENCY_SPARSITY_0.012.pt,20250707_020938,0.7743160570047067
model_cifar10_3layers_seed4_acc0.43_patch0.535_sparse0.014_BEST_PATCHABILITY_SPARSITY_0.014.pt,3,4,0.43,0.535,0.014,BEST_PATCHABILITY_SPARSITY_0.014,76.39457406649383,5628.6720000000005,data/promising_models/20250707_020938/model_cifar10_3layers_seed4_acc0.43_patch0.535_sparse0.014_BEST_PATCHABILITY_SPARSITY_0.014.pt,20250707_020938,0.741873243563685
model_cifar10_3layers_seed4_acc0.43_patch0.535_sparse0.014_BEST_EFFICIENCY_SPARSITY_0.014.pt,3,4,0.43,0.535,0.014,BEST_EFFICIENCY_SPARSITY_0.014,76.39457406649383,5628.6720000000005,data/promising_models/20250707_020938/model_cifar10_3layers_seed4_acc0.43_patch0.535_sparse0.014_BEST_EFFICIENCY_SPARSITY_0.014.pt,20250707_020938,0.741873243563685
model_cifar10_3layers_seed4_acc0.43_patch0.535_sparse0.014_BEST_ACCURACY_GLOBAL.pt,3,4,0.43,0.535,0.014,BEST_ACCURACY_GLOBAL,76.39457406649383,5628.6720000000005,data/promising_models/20250707_020938/model_cifar10_3layers_seed4_acc0.43_patch0.535_sparse0.014_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.741873243563685
model_cifar10_3layers_seed4_acc0.43_patch0.535_sparse0.014_BEST_ACCURACY_SPARSITY_0.014.pt,3,4,0.43,0.535,0.014,BEST_ACCURACY_SPARSITY_0.014,76.39457406649383,5628.6720000000005,data/promising_models/20250707_020938/model_cifar10_3layers_seed4_acc0.43_patch0.535_sparse0.014_BEST_ACCURACY_SPARSITY_0.014.pt,20250707_020938,0.741873243563685
model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_ACCURACY_GLOBAL.pt,3,7,0.35,0.64,0.01,BEST_ACCURACY_GLOBAL,87.05428207577205,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_ACCURACY_GLOBAL.pt,20250707_065048,0.7244812188633283
model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,3,7,0.35,0.64,0.01,BEST_EFFICIENCY_GLOBAL,87.05428207577205,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_EFFICIENCY_GLOBAL.pt,20250707_065048,0.7244812188633283
model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_PATCHABILITY_GLOBAL.pt,3,7,0.35,0.64,0.01,BEST_PATCHABILITY_GLOBAL,87.05428207577205,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_PATCHABILITY_GLOBAL.pt,20250707_065048,0.7244812188633283
model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,3,7,0.35,0.64,0.01,BEST_PATCHABILITY_SPARSITY_0.010,87.05428207577205,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_PATCHABILITY_SPARSITY_0.010.pt,20250707_065048,0.7244812188633283
model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,3,7,0.35,0.64,0.01,BEST_EFFICIENCY_SPARSITY_0.010,87.05428207577205,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_EFFICIENCY_SPARSITY_0.010.pt,20250707_065048,0.7244812188633283
model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,3,7,0.35,0.64,0.01,BEST_ACCURACY_SPARSITY_0.010,87.05428207577205,4020.48,data/promising_models/20250707_065048/model_cifar10_3layers_seed7_acc0.35_patch0.640_sparse0.010_BEST_ACCURACY_SPARSITY_0.010.pt,20250707_065048,0.7244812188633283
model_cifar10_3layers_seed8_acc0.44_patch0.521_sparse0.016_BEST_EFFICIENCY_SPARSITY_0.016.pt,3,8,0.44,0.521,0.016,BEST_EFFICIENCY_SPARSITY_0.016,68.39979305953518,6432.768,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.521_sparse0.016_BEST_EFFICIENCY_SPARSITY_0.016.pt,20250707_020938,0.722604720798488
model_cifar10_3layers_seed8_acc0.44_patch0.521_sparse0.016_BEST_ACCURACY_SPARSITY_0.016.pt,3,8,0.44,0.521,0.016,BEST_ACCURACY_SPARSITY_0.016,68.39979305953518,6432.768,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.521_sparse0.016_BEST_ACCURACY_SPARSITY_0.016.pt,20250707_020938,0.722604720798488
model_cifar10_3layers_seed8_acc0.44_patch0.521_sparse0.016_BEST_ACCURACY_GLOBAL.pt,3,8,0.44,0.521,0.016,BEST_ACCURACY_GLOBAL,68.39979305953518,6432.768,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.521_sparse0.016_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.722604720798488
model_cifar10_3layers_seed8_acc0.44_patch0.521_sparse0.016_BEST_PATCHABILITY_SPARSITY_0.016.pt,3,8,0.44,0.521,0.016,BEST_PATCHABILITY_SPARSITY_0.016,68.39979305953518,6432.768,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.521_sparse0.016_BEST_PATCHABILITY_SPARSITY_0.016.pt,20250707_020938,0.722604720798488
model_cifar10_3layers_seed8_acc0.44_patch0.516_sparse0.018_BEST_PATCHABILITY_SPARSITY_0.018.pt,3,8,0.44,0.516,0.018,BEST_PATCHABILITY_SPARSITY_0.018,60.79981605292016,7236.864,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.516_sparse0.018_BEST_PATCHABILITY_SPARSITY_0.018.pt,20250707_020938,0.6968885467232978
model_cifar10_3layers_seed8_acc0.44_patch0.516_sparse0.018_BEST_EFFICIENCY_SPARSITY_0.018.pt,3,8,0.44,0.516,0.018,BEST_EFFICIENCY_SPARSITY_0.018,60.79981605292016,7236.864,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.516_sparse0.018_BEST_EFFICIENCY_SPARSITY_0.018.pt,20250707_020938,0.6968885467232978
model_cifar10_3layers_seed8_acc0.44_patch0.516_sparse0.018_BEST_ACCURACY_GLOBAL.pt,3,8,0.44,0.516,0.018,BEST_ACCURACY_GLOBAL,60.79981605292016,7236.864,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.516_sparse0.018_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.6968885467232978
model_cifar10_3layers_seed8_acc0.44_patch0.516_sparse0.018_BEST_ACCURACY_SPARSITY_0.018.pt,3,8,0.44,0.516,0.018,BEST_ACCURACY_SPARSITY_0.018,60.79981605292016,7236.864,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.516_sparse0.018_BEST_ACCURACY_SPARSITY_0.018.pt,20250707_020938,0.6968885467232978
model_cifar10_3layers_seed9_acc0.45_patch0.493_sparse0.020_BEST_EFFICIENCY_SPARSITY_0.020.pt,3,9,0.45,0.493,0.02,BEST_EFFICIENCY_SPARSITY_0.020,55.963467048710605,8040.96,data/promising_models/20250707_020152/model_cifar10_3layers_seed9_acc0.45_patch0.493_sparse0.020_BEST_EFFICIENCY_SPARSITY_0.020.pt,20250707_020152,0.6848309297521048
model_cifar10_3layers_seed9_acc0.45_patch0.493_sparse0.020_BEST_ACCURACY_GLOBAL.pt,3,9,0.45,0.493,0.02,BEST_ACCURACY_GLOBAL,55.963467048710605,8040.96,data/promising_models/20250707_020152/model_cifar10_3layers_seed9_acc0.45_patch0.493_sparse0.020_BEST_ACCURACY_GLOBAL.pt,20250707_020152,0.6848309297521048
model_cifar10_3layers_seed9_acc0.45_patch0.493_sparse0.020_BEST_PATCHABILITY_SPARSITY_0.020.pt,3,9,0.45,0.493,0.02,BEST_PATCHABILITY_SPARSITY_0.020,55.963467048710605,8040.96,data/promising_models/20250707_020152/model_cifar10_3layers_seed9_acc0.45_patch0.493_sparse0.020_BEST_PATCHABILITY_SPARSITY_0.020.pt,20250707_020152,0.6848309297521048
model_cifar10_3layers_seed9_acc0.45_patch0.493_sparse0.020_BEST_ACCURACY_SPARSITY_0.020.pt,3,9,0.45,0.493,0.02,BEST_ACCURACY_SPARSITY_0.020,55.963467048710605,8040.96,data/promising_models/20250707_020152/model_cifar10_3layers_seed9_acc0.45_patch0.493_sparse0.020_BEST_ACCURACY_SPARSITY_0.020.pt,20250707_020152,0.6848309297521048
model_cifar10_3layers_seed8_acc0.44_patch0.502_sparse0.020_BEST_EFFICIENCY_SPARSITY_0.020.pt,3,8,0.44,0.502,0.02,BEST_EFFICIENCY_SPARSITY_0.020,54.719834447628145,8040.96,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.502_sparse0.020_BEST_EFFICIENCY_SPARSITY_0.020.pt,20250707_020938,0.6731775321493383
model_cifar10_3layers_seed8_acc0.44_patch0.502_sparse0.020_BEST_ACCURACY_SPARSITY_0.020.pt,3,8,0.44,0.502,0.02,BEST_ACCURACY_SPARSITY_0.020,54.719834447628145,8040.96,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.502_sparse0.020_BEST_ACCURACY_SPARSITY_0.020.pt,20250707_020938,0.6731775321493383
model_cifar10_3layers_seed8_acc0.44_patch0.502_sparse0.020_BEST_ACCURACY_GLOBAL.pt,3,8,0.44,0.502,0.02,BEST_ACCURACY_GLOBAL,54.719834447628145,8040.96,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.502_sparse0.020_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.6731775321493383
model_cifar10_3layers_seed8_acc0.44_patch0.502_sparse0.020_BEST_PATCHABILITY_SPARSITY_0.020.pt,3,8,0.44,0.502,0.02,BEST_PATCHABILITY_SPARSITY_0.020,54.719834447628145,8040.96,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.44_patch0.502_sparse0.020_BEST_PATCHABILITY_SPARSITY_0.020.pt,20250707_020938,0.6731775321493383
model_cifar10_3layers_seed11_acc0.45_patch0.488_sparse0.022_BEST_ACCURACY_SPARSITY_0.022.pt,3,11,0.45,0.488,0.022,BEST_ACCURACY_SPARSITY_0.022,50.87587913519147,8845.055999999999,data/promising_models/20250707_020938/model_cifar10_3layers_seed11_acc0.45_patch0.488_sparse0.022_BEST_ACCURACY_SPARSITY_0.022.pt,20250707_020938,0.6670972801127119
model_cifar10_3layers_seed11_acc0.45_patch0.488_sparse0.022_BEST_EFFICIENCY_SPARSITY_0.022.pt,3,11,0.45,0.488,0.022,BEST_EFFICIENCY_SPARSITY_0.022,50.87587913519147,8845.055999999999,data/promising_models/20250707_020938/model_cifar10_3layers_seed11_acc0.45_patch0.488_sparse0.022_BEST_EFFICIENCY_SPARSITY_0.022.pt,20250707_020938,0.6670972801127119
model_cifar10_3layers_seed11_acc0.45_patch0.488_sparse0.022_BEST_ACCURACY_GLOBAL.pt,3,11,0.45,0.488,0.022,BEST_ACCURACY_GLOBAL,50.87587913519147,8845.055999999999,data/promising_models/20250707_020938/model_cifar10_3layers_seed11_acc0.45_patch0.488_sparse0.022_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.6670972801127119
model_cifar10_3layers_seed11_acc0.45_patch0.488_sparse0.022_BEST_PATCHABILITY_SPARSITY_0.022.pt,3,11,0.45,0.488,0.022,BEST_PATCHABILITY_SPARSITY_0.022,50.87587913519147,8845.055999999999,data/promising_models/20250707_020938/model_cifar10_3layers_seed11_acc0.45_patch0.488_sparse0.022_BEST_PATCHABILITY_SPARSITY_0.022.pt,20250707_020938,0.6670972801127119
model_cifar10_3layers_seed3_acc0.45_patch0.465_sparse0.024_BEST_ACCURACY_GLOBAL.pt,3,3,0.45,0.465,0.024,BEST_ACCURACY_GLOBAL,46.63622254059217,9649.152,data/promising_models/20250707_020938/model_cifar10_3layers_seed3_acc0.45_patch0.465_sparse0.024_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.6464091969055468
model_cifar10_3layers_seed3_acc0.45_patch0.465_sparse0.024_BEST_ACCURACY_SPARSITY_0.024.pt,3,3,0.45,0.465,0.024,BEST_ACCURACY_SPARSITY_0.024,46.63622254059217,9649.152,data/promising_models/20250707_020938/model_cifar10_3layers_seed3_acc0.45_patch0.465_sparse0.024_BEST_ACCURACY_SPARSITY_0.024.pt,20250707_020938,0.6464091969055468
model_cifar10_3layers_seed3_acc0.45_patch0.465_sparse0.024_BEST_PATCHABILITY_SPARSITY_0.024.pt,3,3,0.45,0.465,0.024,BEST_PATCHABILITY_SPARSITY_0.024,46.63622254059217,9649.152,data/promising_models/20250707_020938/model_cifar10_3layers_seed3_acc0.45_patch0.465_sparse0.024_BEST_PATCHABILITY_SPARSITY_0.024.pt,20250707_020938,0.6464091969055468
model_cifar10_3layers_seed3_acc0.45_patch0.465_sparse0.024_BEST_EFFICIENCY_SPARSITY_0.024.pt,3,3,0.45,0.465,0.024,BEST_EFFICIENCY_SPARSITY_0.024,46.63622254059217,9649.152,data/promising_models/20250707_020938/model_cifar10_3layers_seed3_acc0.45_patch0.465_sparse0.024_BEST_EFFICIENCY_SPARSITY_0.024.pt,20250707_020938,0.6464091969055468
model_cifar10_3layers_seed10_acc0.46_patch0.447_sparse0.026_BEST_ACCURACY_SPARSITY_0.026.pt,3,10,0.46,0.447,0.026,BEST_ACCURACY_SPARSITY_0.026,44.00546126907159,10453.248,data/promising_models/20250707_020938/model_cifar10_3layers_seed10_acc0.46_patch0.447_sparse0.026_BEST_ACCURACY_SPARSITY_0.026.pt,20250707_020938,0.6429283529853754
model_cifar10_3layers_seed10_acc0.46_patch0.447_sparse0.026_BEST_ACCURACY_GLOBAL.pt,3,10,0.46,0.447,0.026,BEST_ACCURACY_GLOBAL,44.00546126907159,10453.248,data/promising_models/20250707_020938/model_cifar10_3layers_seed10_acc0.46_patch0.447_sparse0.026_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.6429283529853754
model_cifar10_3layers_seed10_acc0.46_patch0.447_sparse0.026_BEST_PATCHABILITY_SPARSITY_0.026.pt,3,10,0.46,0.447,0.026,BEST_PATCHABILITY_SPARSITY_0.026,44.00546126907159,10453.248,data/promising_models/20250707_020938/model_cifar10_3layers_seed10_acc0.46_patch0.447_sparse0.026_BEST_PATCHABILITY_SPARSITY_0.026.pt,20250707_020938,0.6429283529853754
model_cifar10_3layers_seed10_acc0.46_patch0.447_sparse0.026_BEST_EFFICIENCY_SPARSITY_0.026.pt,3,10,0.46,0.447,0.026,BEST_EFFICIENCY_SPARSITY_0.026,44.00546126907159,10453.248,data/promising_models/20250707_020938/model_cifar10_3layers_seed10_acc0.46_patch0.447_sparse0.026_BEST_EFFICIENCY_SPARSITY_0.026.pt,20250707_020938,0.6429283529853754
model_cifar10_3layers_seed7_acc0.46_patch0.441_sparse0.028_BEST_PATCHABILITY_SPARSITY_0.028.pt,3,7,0.46,0.441,0.028,BEST_PATCHABILITY_SPARSITY_0.028,40.86221403556647,11257.344000000001,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.46_patch0.441_sparse0.028_BEST_PATCHABILITY_SPARSITY_0.028.pt,20250707_020938,0.63105858024747
model_cifar10_3layers_seed7_acc0.46_patch0.441_sparse0.028_BEST_ACCURACY_GLOBAL.pt,3,7,0.46,0.441,0.028,BEST_ACCURACY_GLOBAL,40.86221403556647,11257.344000000001,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.46_patch0.441_sparse0.028_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.63105858024747
model_cifar10_3layers_seed7_acc0.46_patch0.441_sparse0.028_BEST_EFFICIENCY_SPARSITY_0.028.pt,3,7,0.46,0.441,0.028,BEST_EFFICIENCY_SPARSITY_0.028,40.86221403556647,11257.344000000001,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.46_patch0.441_sparse0.028_BEST_EFFICIENCY_SPARSITY_0.028.pt,20250707_020938,0.63105858024747
model_cifar10_3layers_seed7_acc0.46_patch0.441_sparse0.028_BEST_ACCURACY_SPARSITY_0.028.pt,3,7,0.46,0.441,0.028,BEST_ACCURACY_SPARSITY_0.028,40.86221403556647,11257.344000000001,data/promising_models/20250707_020938/model_cifar10_3layers_seed7_acc0.46_patch0.441_sparse0.028_BEST_ACCURACY_SPARSITY_0.028.pt,20250707_020938,0.63105858024747
model_cifar10_3layers_seed8_acc0.46_patch0.435_sparse0.030_BEST_ACCURACY_SPARSITY_0.030.pt,3,8,0.46,0.435,0.03,BEST_ACCURACY_SPARSITY_0.030,38.138066433195384,12061.439999999999,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.46_patch0.435_sparse0.030_BEST_ACCURACY_SPARSITY_0.030.pt,20250707_020938,0.6205203978495141
model_cifar10_3layers_seed8_acc0.46_patch0.435_sparse0.030_BEST_EFFICIENCY_SPARSITY_0.030.pt,3,8,0.46,0.435,0.03,BEST_EFFICIENCY_SPARSITY_0.030,38.138066433195384,12061.439999999999,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.46_patch0.435_sparse0.030_BEST_EFFICIENCY_SPARSITY_0.030.pt,20250707_020938,0.6205203978495141
model_cifar10_3layers_seed8_acc0.46_patch0.435_sparse0.030_BEST_PATCHABILITY_SPARSITY_0.030.pt,3,8,0.46,0.435,0.03,BEST_PATCHABILITY_SPARSITY_0.030,38.138066433195384,12061.439999999999,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.46_patch0.435_sparse0.030_BEST_PATCHABILITY_SPARSITY_0.030.pt,20250707_020938,0.6205203978495141
model_cifar10_3layers_seed8_acc0.46_patch0.435_sparse0.030_BEST_ACCURACY_GLOBAL.pt,3,8,0.46,0.435,0.03,BEST_ACCURACY_GLOBAL,38.138066433195384,12061.439999999999,data/promising_models/20250707_020938/model_cifar10_3layers_seed8_acc0.46_patch0.435_sparse0.030_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.6205203978495141
model_cifar10_3layers_seed6_acc0.47_patch0.406_sparse0.036_BEST_ACCURACY_SPARSITY_0.036.pt,3,6,0.47,0.406,0.036,BEST_ACCURACY_SPARSITY_0.036,32.47262902826417,14473.728,data/promising_models/20250707_020938/model_cifar10_3layers_seed6_acc0.47_patch0.406_sparse0.036_BEST_ACCURACY_SPARSITY_0.036.pt,20250707_020938,0.6039457026262234
model_cifar10_3layers_seed6_acc0.47_patch0.406_sparse0.036_BEST_PATCHABILITY_SPARSITY_0.036.pt,3,6,0.47,0.406,0.036,BEST_PATCHABILITY_SPARSITY_0.036,32.47262902826417,14473.728,data/promising_models/20250707_020938/model_cifar10_3layers_seed6_acc0.47_patch0.406_sparse0.036_BEST_PATCHABILITY_SPARSITY_0.036.pt,20250707_020938,0.6039457026262234
model_cifar10_3layers_seed6_acc0.47_patch0.406_sparse0.036_BEST_ACCURACY_GLOBAL.pt,3,6,0.47,0.406,0.036,BEST_ACCURACY_GLOBAL,32.47262902826417,14473.728,data/promising_models/20250707_020938/model_cifar10_3layers_seed6_acc0.47_patch0.406_sparse0.036_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.6039457026262234
model_cifar10_3layers_seed6_acc0.47_patch0.406_sparse0.036_BEST_EFFICIENCY_SPARSITY_0.036.pt,3,6,0.47,0.406,0.036,BEST_EFFICIENCY_SPARSITY_0.036,32.47262902826417,14473.728,data/promising_models/20250707_020938/model_cifar10_3layers_seed6_acc0.47_patch0.406_sparse0.036_BEST_EFFICIENCY_SPARSITY_0.036.pt,20250707_020938,0.6039457026262234
model_cifar10_3layers_seed13_acc0.46_patch0.405_sparse0.032_BEST_EFFICIENCY_SPARSITY_0.032.pt,3,13,0.46,0.405,0.032,BEST_EFFICIENCY_SPARSITY_0.032,35.754437281120666,12865.536,data/promising_models/20250707_020938/model_cifar10_3layers_seed13_acc0.46_patch0.405_sparse0.032_BEST_EFFICIENCY_SPARSITY_0.032.pt,20250707_020938,0.603532751849629
model_cifar10_3layers_seed13_acc0.46_patch0.405_sparse0.032_BEST_PATCHABILITY_SPARSITY_0.032.pt,3,13,0.46,0.405,0.032,BEST_PATCHABILITY_SPARSITY_0.032,35.754437281120666,12865.536,data/promising_models/20250707_020938/model_cifar10_3layers_seed13_acc0.46_patch0.405_sparse0.032_BEST_PATCHABILITY_SPARSITY_0.032.pt,20250707_020938,0.603532751849629
model_cifar10_3layers_seed13_acc0.46_patch0.405_sparse0.032_BEST_ACCURACY_GLOBAL.pt,3,13,0.46,0.405,0.032,BEST_ACCURACY_GLOBAL,35.754437281120666,12865.536,data/promising_models/20250707_020938/model_cifar10_3layers_seed13_acc0.46_patch0.405_sparse0.032_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.603532751849629
model_cifar10_3layers_seed13_acc0.46_patch0.405_sparse0.032_BEST_ACCURACY_SPARSITY_0.032.pt,3,13,0.46,0.405,0.032,BEST_ACCURACY_SPARSITY_0.032,35.754437281120666,12865.536,data/promising_models/20250707_020938/model_cifar10_3layers_seed13_acc0.46_patch0.405_sparse0.032_BEST_ACCURACY_SPARSITY_0.032.pt,20250707_020938,0.603532751849629
model_cifar10_3layers_seed4_acc0.46_patch0.407_sparse0.034_BEST_PATCHABILITY_SPARSITY_0.034.pt,3,4,0.46,0.407,0.034,BEST_PATCHABILITY_SPARSITY_0.034,33.651235088113566,13669.632000000001,data/promising_models/20250707_020938/model_cifar10_3layers_seed4_acc0.46_patch0.407_sparse0.034_BEST_PATCHABILITY_SPARSITY_0.034.pt,20250707_020938,0.5974779374490411
model_cifar10_3layers_seed4_acc0.46_patch0.407_sparse0.034_BEST_ACCURACY_GLOBAL.pt,3,4,0.46,0.407,0.034,BEST_ACCURACY_GLOBAL,33.651235088113566,13669.632000000001,data/promising_models/20250707_020938/model_cifar10_3layers_seed4_acc0.46_patch0.407_sparse0.034_BEST_ACCURACY_GLOBAL.pt,20250707_020938,0.5974779374490411
